id,company_name,plan_tier,account_status,contract_start,contract_end,seat_count,monthly_revenue,created_at
8daa0fb1-3f85-4292-8e9d-ac3b9bd78549,"Anderson, Burgess and Williams",Growth,Suspended,2025-01-08,2028-06-07,125,99,2026-06-21 18:04:50.990304
44368fd0-fd72-492d-95f3-3c669b4973ea,Rojas-Page,Enterprise,Active,2025-04-07,2026-10-29,53,999,2026-06-21 18:04:50.998429
74d30ea9-0a35-4df2-8dd6-4e82feeb5a66,Ellis PLC,Starter,Suspended,2023-08-22,2028-04-21,122,29,2026-06-21 18:04:51.005254
93ce194f-252f-49a8-8998-f002fec8a2b1,"Bowman, Palmer and Monroe",Business,Past Due,2025-04-03,2028-01-17,134,299,2026-06-21 18:04:51.015323
432c7ddb-e4e4-4c15-80b0-dd6a86f70a3c,Gardner Ltd,Growth,Active,2025-05-08,2027-06-13,64,99,2026-06-21 18:04:51.026655
81b25927-3dbc-4fc3-b446-7eb4434a07f9,"Lopez, Sanchez and Rodriguez",Growth,Active,2023-08-10,2026-12-19,39,99,2026-06-21 18:04:51.040774
e1e086c7-a052-445e-a290-18f7c76f72e0,"Ibarra, Holland and Bowen",Business,Suspended,2024-06-19,2027-03-05,90,299,2026-06-21 18:04:51.049639
8bace83b-2a88-417b-9fce-1d8f407ee2ac,Bowen Inc,Starter,Past Due,2024-05-28,2026-12-13,30,29,2026-06-21 18:04:51.062822
b3f02efa-3c6c-41f5-bef6-c840aff195dc,"Henderson, Bowman and Henderson",Starter,Past Due,2025-04-05,2027-10-18,111,29,2026-06-21 18:04:51.076042
0febf875-0ab1-4a47-b81a-b304d04ac05c,"Webster, Kim and Boyd",Business,Trial,2025-03-26,2027-09-01,33,299,2026-06-21 18:04:51.083527
83e49472-e631-47ba-8bdd-60b44ee77737,Luna Ltd,Business,Suspended,2023-06-24,2027-03-13,42,299,2026-06-21 18:04:51.090135
