id,account_id,subject,status,priority,summary,created_at
acbdb659-11c6-4ff5-9c9d-e11bd61c3f11,e732ab2c-0ce1-4418-8a04-185d7c6763c0,API Error,Resolved,Critical,Social despite put also. Book fund support write your take.,2026-04-13 14:12:39
f31f4ca4-99c6-4b3f-af8b-1b286438d4d6,e732ab2c-0ce1-4418-8a04-185d7c6763c0,Add Team Members,Resolved,Critical,Type for partner old. Bank these town base. By how effect take site section.,2026-04-21 08:29:19
129e98b1-c719-4d84-afd8-6ba786428d8d,e732ab2c-0ce1-4418-8a04-185d7c6763c0,Subscription Upgrade,Resolved,Low,Stand risk why. Without assume room bad near.,2026-02-15 19:53:25
03b76adc-d4ae-4e08-86c6-ae328a372770,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,Subscription Upgrade,In Progress,Medium,Three though ahead green still perhaps issue make. Describe individual event meet. Land brother drive.,2026-05-27 04:30:39
ee91a9c8-686f-46b9-980f-aa6f7a465d28,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,API Error,Open,Critical,Such military number they trade worry customer. Whatever another main suffer themselves small material.,2026-01-06 11:33:06
1f78bbcd-4ed7-497b-b0c0-5900354972d0,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,Cannot Login,Closed,Critical,Still senior sound rich. Hour economy spend almost painting become. Evening fall you political her very.,2026-03-24 13:37:06
720b150e-4c4a-4ae0-acdf-9957e205d9fc,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,Invoice Dispute,Resolved,Medium,Support say fly half realize he parent focus. Government woman so these everything down. Oil sign couple fill order detail help.,2026-06-19 03:24:51
ee603c20-b1ad-4edd-b8c9-d2c27ca46660,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,Plan Downgrade Request,In Progress,High,Theory like hospital recent reach drug me. Nor community large eight my.,2026-03-31 18:23:47
9c4355a6-5606-4f68-9693-5f643f8004df,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,Add Team Members,Open,Medium,Student financial hold there. Well shoulder science not.,2026-02-01 04:06:13
fb59c7cf-864a-4024-944a-1fa88ce1e2ac,4a319096-c350-4642-8635-bb8a194ea3aa,Unexpected Charge,Open,Low,Model soon smile public smile hair. Name paper play name ten along human indeed. Write outside your.,2026-01-25 01:24:26
2cda7151-d702-460a-ae28-776eb66dab62,4a319096-c350-4642-8635-bb8a194ea3aa,Cannot Login,Closed,High,At phone next also speak open political. Oil personal discuss while partner take control.,2026-03-15 06:37:19
1f858014-46a7-4aa3-ab99-806678d2cc47,4a319096-c350-4642-8635-bb8a194ea3aa,Add Team Members,In Progress,High,Simply development close positive leader. Ten ball culture collection gun. Toward force away others pass.,2026-05-28 02:55:50
c022b90e-2b31-4cbc-a2b6-6e1371788cfa,4a319096-c350-4642-8635-bb8a194ea3aa,Unexpected Charge,Open,Low,Figure option least. Paper around admit participant its your between. Will box yourself set.,2026-04-13 20:00:06
74c0dfdd-2eda-4f82-b222-d312212dc0aa,4a319096-c350-4642-8635-bb8a194ea3aa,API Error,Open,High,Among term analysis though production. Then charge suggest party bank. Fire serve understand difference a world from act.,2026-03-04 20:33:43
41d1b41e-8123-4adb-b44c-ccc798a1ed82,4a319096-c350-4642-8635-bb8a194ea3aa,Refund Request,In Progress,Low,Line agency something begin paper enjoy activity. Represent discover alone nearly look dream. Stock lot customer future clearly.,2026-03-12 02:43:37
ca8e0c1e-9466-4d6b-9fd3-afa39d75bf92,4a319096-c350-4642-8635-bb8a194ea3aa,Subscription Upgrade,In Progress,Medium,Community art else choice behind. Member first system our rise far painting.,2026-04-29 21:42:52
50299a55-9dd5-4c90-8aa6-e001f2d5f059,4a319096-c350-4642-8635-bb8a194ea3aa,Cannot Login,Closed,Medium,Unit each first certain dark sport sport. Answer month yourself fall here understand. Movie down leg energy pretty.,2026-03-05 23:00:20
9c097ebb-6e00-48ac-9875-4e12645ef271,4a319096-c350-4642-8635-bb8a194ea3aa,Plan Downgrade Request,Open,Medium,By foreign note newspaper. Station minute art north.,2026-02-21 00:25:23
566c9dc0-594e-475b-b6e9-a2c75f1b68ba,4a319096-c350-4642-8635-bb8a194ea3aa,Add Team Members,Resolved,Low,Few tax even mission wear firm. Pick customer school none summer.,2026-01-21 06:39:36
38694dc1-6c0c-4da8-8924-8c7f0ecd1778,cf9e5c86-0e01-425d-81a5-5d60f2bff1de,Subscription Upgrade,Closed,Medium,Last discussion fight some wide car girl. Whole energy kid another when word in home. Summer because radio girl me less.,2026-01-23 07:46:54
c6691f03-2dec-4887-acfa-03215e5810a2,cf9e5c86-0e01-425d-81a5-5d60f2bff1de,API Error,Open,Low,Address but data hotel doctor region.,2026-05-06 20:05:30
a2014e79-23a6-4a5e-b9a0-59c2253d42cb,cf9e5c86-0e01-425d-81a5-5d60f2bff1de,Billing Issue,Open,Medium,You cell its change life. Light network sure value gas feeling. Build specific green next agree statement.,2026-06-19 11:13:26
08cc0fbf-0a15-423d-8015-e47aae061907,cf9e5c86-0e01-425d-81a5-5d60f2bff1de,Subscription Upgrade,Resolved,Medium,Let community media audience. Fight by growth feel evidence as actually. Kind exist stop help different.,2026-02-27 06:45:26
c63e6ccd-47b0-47ae-b6f0-d923d01dee5a,cf9e5c86-0e01-425d-81a5-5d60f2bff1de,Cannot Login,In Progress,Low,Along attack partner rate letter find. Yeah north together message study enjoy.,2026-03-05 07:25:33
f4acc05d-63c9-48d6-af36-4816f6fa6dda,cf9e5c86-0e01-425d-81a5-5d60f2bff1de,Add Team Members,Open,Critical,Per Mr fish state message. Then run check knowledge teacher young. Voice start partner difference specific.,2026-01-05 15:53:19
fe1a8269-1fd4-4dc0-9117-e757ab75fd98,cf9e5c86-0e01-425d-81a5-5d60f2bff1de,Refund Request,Open,High,Ball voice training cultural case its hospital. Pressure important far continue himself. Answer gun so authority.,2026-02-04 07:08:22
998e7ace-f95a-46d8-a995-13f96d8fb08b,cf9e5c86-0e01-425d-81a5-5d60f2bff1de,Refund Request,In Progress,Critical,Stuff concern two. Teacher push others red cultural change such. Performance law sign civil.,2026-01-30 03:37:04
977c1177-77d3-4eac-8ef6-6dbd192d0cbb,cf9e5c86-0e01-425d-81a5-5d60f2bff1de,Workspace Access Problem,Open,Medium,Voice hospital edge generation. Its stage debate exist environment himself. National window discuss list usually fact.,2026-01-27 08:40:11
f9e92683-b5d0-49cc-81d7-6e713216d80e,f1354fc3-75ef-443e-b820-8083940c4856,Add Team Members,Resolved,Medium,New dream create. Difficult coach voice real imagine.,2026-04-20 16:04:12
f855a7e0-ba8f-4594-bbb3-19effb6c1ded,f1354fc3-75ef-443e-b820-8083940c4856,Add Team Members,Open,High,Against economic yes generation loss mouth. Big return ten sound after.,2026-04-25 06:22:29
58edc141-ddae-4697-9eb6-e4307666db8e,f1354fc3-75ef-443e-b820-8083940c4856,Subscription Upgrade,Closed,High,Detail what blood medical third. Toward black approach. Choice sense tell cell improve radio produce.,2026-05-03 13:07:16
17d8d8ea-738a-47bb-9e99-b522e398f8cf,f1354fc3-75ef-443e-b820-8083940c4856,Invoice Dispute,Open,Critical,Form subject director end several. Despite society certainly writer thus glass. Enter should someone push thing single.,2026-06-13 22:01:58
43e57bcd-7676-4696-b6c1-9dfb86e8afef,f1354fc3-75ef-443e-b820-8083940c4856,API Error,In Progress,Medium,Way have minute if attorney. May challenge media figure.,2026-04-01 22:15:23
89245250-b1d3-4a4f-a111-8fb90c5f5a99,f1354fc3-75ef-443e-b820-8083940c4856,Plan Downgrade Request,Closed,Medium,Short black life buy close. State be house office professor.,2026-03-22 00:26:18
2c7837b3-a834-490d-9489-06a169bed300,e6e2af16-0440-43b2-ae02-50f9247726d3,Cannot Login,Open,High,Around order use blue level late perform. Least real indeed page decade Republican. Very economy full health paper.,2026-02-28 18:56:09
6084ddee-a26b-4901-bfed-cd13f7b75e8f,e6e2af16-0440-43b2-ae02-50f9247726d3,Cannot Login,In Progress,Medium,Feeling pull clearly music win bit. Special purpose surface art give common similar. Open near magazine.,2026-02-01 00:20:42
1e8f7376-21d6-4c20-89ef-c782822513c6,e6e2af16-0440-43b2-ae02-50f9247726d3,Add Team Members,Resolved,High,Evidence leg market. Summer themselves financial among picture sure art. Newspaper subject bit which front head.,2026-04-01 20:28:24
33628efb-b624-4312-b52a-c2711347c47b,e6e2af16-0440-43b2-ae02-50f9247726d3,Add Team Members,Closed,Medium,Board cold development Republican return agent name.,2026-03-18 06:14:09
79552833-5faf-4d7b-ab2f-d569c2aa11ec,e6e2af16-0440-43b2-ae02-50f9247726d3,Workspace Access Problem,In Progress,High,Game consumer within. Reach size important old serve go often.,2026-06-19 17:01:32
1c7d7a2b-197a-4781-97b9-30943b2a2462,e6e2af16-0440-43b2-ae02-50f9247726d3,Cannot Login,Open,Medium,Its school cultural increase than series unit. Cell not civil heavy health black environment plan.,2026-03-23 05:35:32
671951c8-50d8-4dbd-807e-29493a819ce0,e6e2af16-0440-43b2-ae02-50f9247726d3,Subscription Upgrade,Open,Medium,Most mother such act present say. Necessary change else affect investment account paper. Team this sister meet probably most compare.,2026-01-14 05:57:13
51b364d6-d89e-4843-8f13-e938176f37cc,e6e2af16-0440-43b2-ae02-50f9247726d3,Add Team Members,In Progress,Critical,Prove whom himself produce station similar. Bed news specific social.,2026-05-18 15:07:50
10da5f7f-403e-44a1-831b-13f421b4663c,e6e2af16-0440-43b2-ae02-50f9247726d3,Invoice Dispute,Open,Low,Low stuff tough. Recognize miss kind trip.,2026-01-25 19:02:01
33a18983-affa-4484-984c-14a41db8f6b5,e6e2af16-0440-43b2-ae02-50f9247726d3,Add Team Members,Closed,Low,Several public teacher hear where contain deal far. Next could still grow same. Smile goal so agent night behind green. Apply line should course method often choice popular.,2026-03-29 01:03:41
1df24436-9e8a-4163-b9ba-bd11109bbbbe,10853b5f-d44a-473b-aacd-cce5a9440729,Billing Issue,Open,Critical,Thought man hit beautiful. Training travel me thought my turn.,2026-01-05 04:50:59
94898eff-f452-4642-b627-ada5b4d75a0e,10853b5f-d44a-473b-aacd-cce5a9440729,Plan Downgrade Request,Resolved,High,He source nature voice. Recognize single value certainly officer.,2026-02-27 06:03:13
ff5b0119-d121-4ca6-8e72-8b5ef0d09f9d,10853b5f-d44a-473b-aacd-cce5a9440729,Add Team Members,Closed,Critical,Safe capital without recognize. Possible half concern season every paper effect. Attack resource agree buy politics help. Beautiful feel hope night risk cup.,2026-01-01 11:01:23
ccb12262-e5af-4b00-bf2a-224adbe4f475,10853b5f-d44a-473b-aacd-cce5a9440729,Unexpected Charge,In Progress,Low,Without box specific long appear rich total. Hand tax yeah avoid.,2026-04-12 05:43:52
c7ed7b26-e250-426b-a6fa-523001a167fe,10853b5f-d44a-473b-aacd-cce5a9440729,Add Team Members,Resolved,Low,Nothing newspaper much effort sometimes. Writer matter idea western key common affect bag.,2026-02-09 05:20:54
6b1772f6-c1a5-4d0e-b93a-66a346ce3b5b,10853b5f-d44a-473b-aacd-cce5a9440729,Add Team Members,Resolved,Low,Finally network field likely future official quite. Require single similar become customer share start. Challenge sort specific write institution claim skin what.,2026-03-14 18:31:03
6b2eb9d9-c4f8-4a3e-90fb-76caf5ff7184,10853b5f-d44a-473b-aacd-cce5a9440729,Add Team Members,Open,Low,Board range common.,2026-04-01 19:05:17
5baf9a0f-3501-4ea3-8704-e86abbc7a1f4,10853b5f-d44a-473b-aacd-cce5a9440729,Billing Issue,Open,Critical,During evidence stop wonder. Fact as own service worker exactly plant. There two bring new east.,2026-05-12 05:29:58
e3396c41-613d-46f4-a817-70b8e5c4aaec,10853b5f-d44a-473b-aacd-cce5a9440729,Invoice Dispute,Open,Medium,Less bad affect perform home. Attack technology window worker carry hit young.,2026-02-18 15:45:13
ecd6307e-8efd-4884-a621-5c0ef7e0cfaf,0ed5b12a-9f77-48e6-be6e-46dbb72d7e71,Add Team Members,Closed,Critical,Yeah them minute machine Mr something answer.,2026-02-06 22:51:17
9d6a1a13-e9f6-420e-8b15-491152b26542,0ed5b12a-9f77-48e6-be6e-46dbb72d7e71,Add Team Members,Closed,High,Without degree believe season. Smile customer minute down media quality consumer. House institution magazine choose whose rate new.,2026-05-17 20:33:50
ddd325f2-0619-4a21-9702-262050e6618a,0ed5b12a-9f77-48e6-be6e-46dbb72d7e71,Plan Downgrade Request,Open,High,End price anyone human western pressure. Property day value heavy. Still movement maybe include look similar tree one.,2026-02-22 20:18:33
f2191542-16b8-40f7-a92f-a194570a746d,0ed5b12a-9f77-48e6-be6e-46dbb72d7e71,Cannot Login,Closed,High,Address soon pay dark successful. Window concern day relate. Decide watch dark.,2026-03-19 08:09:05
83b3fadd-82ea-4e61-b413-d844ed5766e1,0ed5b12a-9f77-48e6-be6e-46dbb72d7e71,Subscription Upgrade,In Progress,High,Help night small somebody. Feeling about music along provide budget. Despite fact class me much open someone. Skill half successful star green forget effort eat.,2026-05-22 18:40:38
23ef3693-cdd1-48f7-a559-003a5676a476,0ed5b12a-9f77-48e6-be6e-46dbb72d7e71,Subscription Upgrade,Closed,Low,Environment about something pick. Close pick pick improve include star. Establish business every cost nor although. Almost high room live myself training color.,2026-04-10 08:56:28
f1a523c6-ce0b-4a0e-a007-c8ab7f644e89,0ed5b12a-9f77-48e6-be6e-46dbb72d7e71,Workspace Access Problem,Closed,Medium,Growth catch figure alone hundred month. Size memory long act miss.,2026-02-09 05:52:14
f6af82a8-311d-4a53-b8ef-254efd5010c7,0ed5b12a-9f77-48e6-be6e-46dbb72d7e71,Plan Downgrade Request,In Progress,Critical,Themselves outside sell ball wind national. Ok benefit stage.,2026-01-22 06:28:07
ad5ad118-ce93-4edd-9962-05fe4d8aafe2,0ed5b12a-9f77-48e6-be6e-46dbb72d7e71,Add Team Members,Closed,Critical,Other full seat nor choose dark theory. Style inside international skin reflect stop guy.,2026-04-25 08:56:16
e0ce4b23-63ef-452b-8354-21033a6b221e,0ed5b12a-9f77-48e6-be6e-46dbb72d7e71,Unexpected Charge,Open,Critical,Country between where war. Work church experience shoulder and summer.,2026-02-16 03:47:22
bcf20f71-f0fc-4d42-a07b-51131d893b80,a899bc30-3d58-4941-9b92-c5e40584d04a,Refund Request,Closed,Medium,Safe film live Republican in. Easy especially whether simply after box. Us likely along way ago.,2026-01-26 22:12:52
d37c25c3-d5ee-46df-89ad-fe66b37be09e,a899bc30-3d58-4941-9b92-c5e40584d04a,Plan Downgrade Request,In Progress,Low,Somebody must not. Run huge final miss before necessary.,2026-03-07 11:02:15
ca7977ec-9137-4b30-9164-9f4c1cb01eea,a899bc30-3d58-4941-9b92-c5e40584d04a,Workspace Access Problem,Closed,Medium,Town station threat turn voice pass. See sport produce yard no health. Head nearly voice place agent expert rise.,2026-02-15 06:59:09
9f18fcd8-075d-41e1-8038-d037bbeb1964,a899bc30-3d58-4941-9b92-c5e40584d04a,Workspace Access Problem,Resolved,Low,Television determine save. Game result article rule phone. Care off nature themselves.,2026-04-16 22:04:27
7738083a-b79d-4615-adf3-a53f0e287459,a899bc30-3d58-4941-9b92-c5e40584d04a,Refund Request,Open,Medium,Three mention term suggest form risk system. Rock why skill per hand. Range order according cause hope pressure.,2026-03-27 21:49:40
63df3517-fbaf-44ce-bbdb-feb9c804987f,a899bc30-3d58-4941-9b92-c5e40584d04a,Unexpected Charge,In Progress,High,Bad agent nature item. Billion step top pull north.,2026-02-08 19:18:41
03ef429a-8209-4aee-87d3-3d9e6b63f02b,a899bc30-3d58-4941-9b92-c5e40584d04a,Billing Issue,Closed,Critical,I arm enough force partner. Color head each theory event they yeah. Blood challenge relationship consider apply. Remember ask land theory hour interesting interesting tonight.,2026-01-06 07:52:18
0685d79f-f4fa-4f0a-b10d-18ab313ea7b7,80e7ea84-3605-4cb4-ac12-ff5128f5d4d0,Refund Request,Closed,High,Such worry down thousand meet billion. Firm him enough something want everyone. Always tonight realize pass line process instead. Character better just say party.,2026-06-21 12:13:02
39c2fef6-1eb2-4b6f-8458-3126d81f0b1a,80e7ea84-3605-4cb4-ac12-ff5128f5d4d0,Add Team Members,Resolved,Critical,Capital bank particularly TV. Majority wide effect thousand media detail teach brother. Beautiful character form place.,2026-03-30 11:33:13
f9d02ff6-19c6-4a52-aaa7-d24cbd9e42bf,80e7ea84-3605-4cb4-ac12-ff5128f5d4d0,Workspace Access Problem,Resolved,Critical,Together though level fine. Sound different different water note example collection. Attention sometimes conference many. Land expect tell Mrs lot ground.,2026-04-13 00:45:48
0e5f6cdf-dd45-4ab7-b14b-8d31c7990982,80e7ea84-3605-4cb4-ac12-ff5128f5d4d0,Workspace Access Problem,Open,Critical,Response television seven goal. Become born cell kitchen best evening. Kid become state growth name design.,2026-01-06 14:35:59
c460cebd-97eb-4ea8-940e-32b764ec8467,80e7ea84-3605-4cb4-ac12-ff5128f5d4d0,API Error,Resolved,High,Though Republican game edge available call. Method recently deep special level score. Billion blue difference stop establish.,2026-03-12 17:20:07
c99a887c-10b4-497a-9660-d0cacac10314,80e7ea84-3605-4cb4-ac12-ff5128f5d4d0,Workspace Access Problem,Closed,High,Sort loss similar. During bed newspaper else current pass year Democrat.,2026-05-13 00:14:13
f6961581-63f2-4df4-aead-c8406ddb334f,80e7ea84-3605-4cb4-ac12-ff5128f5d4d0,Workspace Access Problem,Resolved,Low,Yes perhaps get school social year notice. Fund describe learn reach big material great be. Financial throughout treat this.,2026-01-04 15:19:33
09b7a716-1970-46b9-871e-83a283f88ad6,80e7ea84-3605-4cb4-ac12-ff5128f5d4d0,Subscription Upgrade,Open,Medium,It audience nothing ready movie who. Though candidate class.,2026-04-04 13:59:08
72460a78-4308-431d-8947-bb574c53277a,8c215458-8db5-47a8-a00f-613c6f9ace6b,Add Team Members,Open,Low,Question risk one affect list worry.,2026-02-05 08:25:30
20fa28ee-8e4d-4952-b8b6-a4be5bac135e,8c215458-8db5-47a8-a00f-613c6f9ace6b,Workspace Access Problem,Resolved,High,Figure necessary loss when.,2026-01-29 22:51:35
dac7267e-e57f-4856-b4d3-0fe54176815b,8c215458-8db5-47a8-a00f-613c6f9ace6b,Cannot Login,Open,Low,Network information that partner almost. Congress election interview ever participant film nice east.,2026-01-27 17:06:23
f6e2c8c9-5112-4750-a8f0-79a9a98998a4,8c215458-8db5-47a8-a00f-613c6f9ace6b,Plan Downgrade Request,Resolved,Low,Century half choice wait president. Participant pass light perhaps.,2026-06-06 13:45:59
fad98103-732b-497a-8cc6-32a522f4ba8b,8c215458-8db5-47a8-a00f-613c6f9ace6b,Invoice Dispute,Resolved,Low,Just break rock people. Away matter system remember success. Image front maybe successful court.,2026-03-05 00:35:43
76f59727-bf8c-4264-92ce-edbcdaf4d490,8c215458-8db5-47a8-a00f-613c6f9ace6b,Billing Issue,Open,Critical,Day break night letter. Which bar door drive laugh chance. Race be several hundred. Buy population baby report.,2026-01-28 06:29:49
432e4668-f527-4132-90d5-5e863e44d9d6,8c215458-8db5-47a8-a00f-613c6f9ace6b,Plan Downgrade Request,In Progress,High,Growth pretty whatever recently. Among new man suffer.,2026-04-03 19:16:42
4493a1f5-51a8-454c-92a3-28e3750c308f,8c215458-8db5-47a8-a00f-613c6f9ace6b,Subscription Upgrade,Resolved,Medium,Stand prevent car since off actually administration safe. Something color early. Maintain positive first good.,2026-01-19 19:33:10
f4218396-b4ad-4890-8eb8-5c0a2d7cd17b,2894e589-8178-4d92-9443-433f2184c5c1,Workspace Access Problem,Resolved,High,Total mouth space director best. Bank investment already sister article see.,2026-06-07 17:07:50
894e0c68-be91-4464-94ee-5b133df9b0cc,2894e589-8178-4d92-9443-433f2184c5c1,Cannot Login,Open,Low,Research move tell. Discuss wonder party seem teacher summer woman.,2026-03-07 20:07:52
2bfb6f1c-70de-47cd-beae-dfacda402aa5,2894e589-8178-4d92-9443-433f2184c5c1,Invoice Dispute,Open,Critical,Positive growth central. Quickly human fine. Agent late question recognize pay. Relate sit standard.,2026-01-12 06:19:36
67fade0c-d9ea-474e-afdc-5609c5d26180,2894e589-8178-4d92-9443-433f2184c5c1,Plan Downgrade Request,Closed,Medium,Low approach whether value last imagine. They since some after yeah billion raise allow. And whatever morning soldier point red air option. Job loss win cultural available.,2026-05-01 04:59:53
d00ab2ac-4eff-435a-a551-082da3576a37,2894e589-8178-4d92-9443-433f2184c5c1,Refund Request,Open,Critical,Account lay none modern that remember. Personal hundred our company.,2026-01-21 14:19:16
e1dfdb2e-0520-4856-ba2f-4e78a584f7a0,2894e589-8178-4d92-9443-433f2184c5c1,Billing Issue,Resolved,Low,Close employee necessary world many court. Manage red peace break produce project between nation.,2026-03-09 05:18:57
49f1240e-417c-4a85-8581-cc6e2a34465d,2894e589-8178-4d92-9443-433f2184c5c1,Workspace Access Problem,In Progress,High,Speak perhaps place growth allow. Part attack everyone thing kid thing attack. Strategy class consider. Sing personal land.,2026-01-02 12:46:48
bd7657e1-2479-4edd-9d7a-4c07974432d8,2894e589-8178-4d92-9443-433f2184c5c1,Billing Issue,Open,Critical,Employee across say whom. Up black week quickly. Behind have its why relate.,2026-02-26 23:20:01
6283a79c-4888-45cd-91a3-39fa69bb144c,cc43fe32-4e44-4c6d-b597-59f8de20f461,API Error,In Progress,Critical,Stuff out data weight garden range particular. Well five specific instead interview.,2026-01-20 07:54:52
dbc9f5b4-9d50-4c64-ba0e-402d2690e37c,cc43fe32-4e44-4c6d-b597-59f8de20f461,Plan Downgrade Request,Open,High,Medical answer animal above loss forward. Many accept cultural himself kind.,2026-06-13 15:17:30
09dc1118-308c-460e-b92b-16ff19e089ce,cc43fe32-4e44-4c6d-b597-59f8de20f461,Unexpected Charge,Resolved,High,Door get offer else item.,2026-03-24 08:16:38
