id,account_id,plan_name,billing_cycle,status,renewal_date,monthly_cost,created_at
4f7648bb-f2f3-445c-a0d2-f5b6dac05329,2894e589-8178-4d92-9443-433f2184c5c1,Growth,Monthly,Trial,2026-12-14,99,2026-06-21 18:04:50.797015
edee9601-3673-475c-9af1-d4d33c1f0e1b,cc43fe32-4e44-4c6d-b597-59f8de20f461,Growth,Monthly,Suspended,2027-02-22,99,2026-06-21 18:04:50.807335
27b1d31e-c808-46b7-bcc5-953730583c98,0f0e04f1-42dc-4e99-a8bf-03c5408b1ac9,Starter,Yearly,Active,2027-03-22,29,2026-06-21 18:04:50.816452
f2dd4cea-2d5b-40b3-acfb-b290fe4e8cf6,d75e3493-297b-4c91-a713-ade88c8b8792,Starter,Yearly,Active,2027-06-08,29,2026-06-21 18:04:50.826624
472838bc-01f2-4007-b13b-9659dfa6fce9,7162938a-cf62-4017-b478-225e747cd675,Starter,Yearly,Trial,2027-05-12,29,2026-06-21 18:04:50.835046
f9a19bec-7920-4665-b434-8fcc329f1dba,384a6d47-f5aa-4eee-86fa-49c2454b5b5c,Business,Monthly,Trial,2026-09-03,299,2026-06-21 18:04:50.840675
e88f8561-f78f-4a24-86b9-88eedb6714ed,1536e97d-da14-4c11-92d7-696add9e414e,Starter,Yearly,Active,2027-02-23,29,2026-06-21 18:04:50.849663
1e07de0a-0416-45df-bfaa-171f52760f25,a708acba-1408-4589-b0b8-0237f1130aff,Growth,Yearly,Suspended,2026-08-16,99,2026-06-21 18:04:50.858177
b348c177-ec5f-4b1c-9263-62a5040bc96c,1b0fa279-a5cf-499e-9eb6-268ca73e5f73,Growth,Monthly,Past Due,2026-10-19,99,2026-06-21 18:04:50.866035
f5a02226-4172-4673-b81b-8acae2004caf,ce21f104-476d-408f-bbe2-854a85a9de75,Business,Monthly,Suspended,2027-01-05,299,2026-06-21 18:04:50.878141
eff24a2c-e4f6-45b8-8dac-97d09a6aff1a,d69bde44-8283-4cc9-adc9-dd4adc7eeb07,Starter,Monthly,Suspended,2027-04-23,29,2026-06-21 18:04:50.884986
ddfd7a7c-6819-4540-966f-ed75d3e87f58,680c7ab6-bc7f-4102-bf64-157a22850ba3,Enterprise,Monthly,Suspended,2027-02-27,999,2026-06-21 18:04:50.890464
1e73b58d-9e57-4159-8b4e-e6d19272132d,10904bcf-94f9-4be5-96e4-8f89b32aeaaa,Enterprise,Monthly,Active,2027-03-28,999,2026-06-21 18:04:50.896365
41777819-6ef0-46b8-b2b7-2d0ab18dd7b0,5c882b4f-2fb8-4993-ae0e-b40b34a93fc2,Starter,Yearly,Suspended,2027-02-17,29,2026-06-21 18:04:50.904178
c96e9631-cd39-4402-9b8f-533dada75b5e,66769379-f4b7-4b18-aa00-16450b9d245d,Enterprise,Monthly,Active,2027-04-15,999,2026-06-21 18:04:50.910759
051cc00e-9778-488b-8d9a-9738a756df99,fd7cb201-8d80-4816-87ac-3674711e3876,Starter,Monthly,Suspended,2026-09-08,29,2026-06-21 18:04:50.916240
111e16ae-b7c2-4c59-bf90-0d337bcdc9c0,0e58b9cb-4212-482b-b666-cda251da4553,Starter,Monthly,Trial,2027-04-25,29,2026-06-21 18:04:50.922798
528ae9da-c133-4dd6-a20d-9eb8204db95a,e325c7d8-f61d-4df0-974f-b4929f1050c7,Business,Monthly,Trial,2027-03-01,299,2026-06-21 18:04:50.931002
bd45015e-21bf-45b1-ae9f-ba02f416dfca,9ff0f69e-8fea-43b6-96d5-8460e015eccb,Starter,Monthly,Past Due,2026-11-18,29,2026-06-21 18:04:50.936539
0db0f2f3-2a36-4748-9316-4b053a92d3d5,50c267ba-ecaa-4a16-b781-dcce9eb8dd85,Starter,Monthly,Past Due,2027-06-10,29,2026-06-21 18:04:50.943555
2f17ee67-bb5b-42e3-b99e-8e3f1ccd2b9e,68f87471-d6cb-45ff-900b-ca946e8359a1,Growth,Monthly,Suspended,2027-01-16,99,2026-06-21 18:04:50.951525
e3aeb5d8-c3bc-42d4-8714-97e3c08e9ded,cf2cd25f-e6e2-4899-9a7d-d5165ff9f37c,Growth,Monthly,Suspended,2026-09-17,99,2026-06-21 18:04:50.959316
8fdebf62-a7ce-4eb7-bd08-a5bb10067b60,dedd29d3-9f40-44b3-9736-e1d5e5ef1f79,Growth,Yearly,Past Due,2027-02-27,99,2026-06-21 18:04:50.969736
c31338ed-dc9c-44e9-8d29-e1d5a036da8d,e6821510-6623-4833-b6ff-5222e2756480,Enterprise,Yearly,Past Due,2026-09-03,999,2026-06-21 18:04:50.979147
d8672a57-601b-4e75-99b6-9b64bc47f826,ef30fcfe-edc9-4c1b-b320-df58fb05c8b6,Growth,Yearly,Suspended,2027-04-12,99,2026-06-21 18:04:50.987848
206b1095-89a3-4f69-83d6-fd82cff1bfdb,8daa0fb1-3f85-4292-8e9d-ac3b9bd78549,Growth,Monthly,Suspended,2027-03-05,99,2026-06-21 18:04:50.995780
3ea216ef-5f4f-477b-b08b-23a39427b19b,44368fd0-fd72-492d-95f3-3c669b4973ea,Enterprise,Yearly,Active,2026-09-16,999,2026-06-21 18:04:51.003073
a338d110-ffbb-4ccb-b743-0aeb3ee4d911,74d30ea9-0a35-4df2-8dd6-4e82feeb5a66,Starter,Yearly,Suspended,2027-03-18,29,2026-06-21 18:04:51.011236
8f576552-80e6-406e-ba53-f68227558e62,93ce194f-252f-49a8-8998-f002fec8a2b1,Business,Yearly,Past Due,2026-10-31,299,2026-06-21 18:04:51.022826
df77d496-a4f4-4908-b3e6-1393cb44bde4,432c7ddb-e4e4-4c15-80b0-dd6a86f70a3c,Growth,Monthly,Active,2027-02-13,99,2026-06-21 18:04:51.035207
3c5a8c8a-11e6-41e5-8ac2-f09a7c9b28f8,81b25927-3dbc-4fc3-b446-7eb4434a07f9,Growth,Monthly,Active,2026-07-21,99,2026-06-21 18:04:51.046856
9bc8804a-c84c-4595-b028-a9936fff262b,e1e086c7-a052-445e-a290-18f7c76f72e0,Business,Yearly,Suspended,2027-03-08,299,2026-06-21 18:04:51.058476
6efc5c76-6928-4d3a-8f15-bf886840439c,8bace83b-2a88-417b-9fce-1d8f407ee2ac,Starter,Monthly,Past Due,2027-01-27,29,2026-06-21 18:04:51.072631
c7ce0601-70b6-497a-8fe0-5e3efe9803dd,b3f02efa-3c6c-41f5-bef6-c840aff195dc,Starter,Yearly,Past Due,2027-04-14,29,2026-06-21 18:04:51.080560
a4a71b85-fcc4-42c2-ba02-06b4b0c2c46a,0febf875-0ab1-4a47-b81a-b304d04ac05c,Business,Monthly,Trial,2027-03-26,299,2026-06-21 18:04:51.087273
65211f26-9750-45ab-a080-039b35895376,83e49472-e631-47ba-8bdd-60b44ee77737,Business,Monthly,Suspended,2027-05-28,299,2026-06-21 18:04:51.098668
